Section Header,Content,Source
1098-T,"The 1098-T is an information form filed with the Internal Revenue Service. This form is provided to help you, or the person who may claim you as a dependent, determine whether or not you qualify for an American Opportunity Tax Credit or a Lifetime Learning Credit on Form 1040 or 1040A for the qualified tuition and related expenses that were actually paid during the calendar year. Forms are mailed or available no later than January 31.",1098-T FAQ's.csv
International Tax Documents,"If you require a separate tax document form your home country, please email: NavCenter@salemstate.edu with document. We will review the document to see if we can or cannot fill it out.

Document may include TL11A (Canada), RL-8 (Canada) or any other documentation from your home country.",1098-T FAQ's.csv
How can I get my 1098T?,"Please follow the steps below or use the following link to our Ask the Viking solution: https://ask.salemstate.edu/kb/how-access-my-1098-t                                                                                                                        
                                                                                                                                                                                                                                                                                                                                                                                                              1. Log into Navigator.
2. Once at the Student Homepage, click on “Financial Account”.
3. Located in the menu bar, click on “Student Accounts”.
4.Click on the “Click Here” link to access TouchNet.
5.Once in TouchNet Click on the “My Account” link
6.Select the ‘Statements’ option
7.You will then have the option to select 1098-T Tax Statements and click the ‘View’ button.
8.You will be redirected to ECSI, a third-party company that has partnered with Salem State to provide the 1098-T. This is where 1098-T statements are stored. From here, students can view, download, or print their 1098-T statements.",1098-T FAQ's.csv
How can I authorize another user?,Please use the following link for more information on an adding an authorized user: https://ask.salemstate.edu/kb/how-assign-authorized-user ,1098-T FAQ's.csv
How do I receive an electronic copy of my 1098-T?,"To submit your consent please follow these steps (link shown here: https://ask.salemstate.edu/sites/default/files/solution/attachments/How%20To%20-%201098-T%20e-Consent.pdf):

Log in to Navigator
Once at the Student Homepage, click on ""Financial Account""
Located in the Menu Bar, click on ""Student Accounts""
Click on the ""Click Here"" link to access your TouchNet Account.
Click on the Home button then click on “Consent and Agreements” button on the right-hand menu.
Once in your “Consents and Agreements” page, you will be able to view your consents. Click on “Change”.
A pop-up will appear. Please read the section carefully and accept the option you prefer.
Accept Consent to agree to paperless. I Do Not Consent to return to paper copy.                                                                                                                                                                                                                                                                                                                                                                Note:Starting with your 2020 Tax form, you can opt-in to receive an electronic version of your form instead of a mailed copy. This new option allows you to view your form at any time through your Navigator account. The deadline to sign up for e-Consent for your 1098-T is December 31 of the tax year (Example 12/31/2020 for tax year 2020). If you opt-in after this date, you will receive a paper copy to your domestic mailing address on file. Electronic copies will be available on January 31st and paper copies will be postmarked by this date.",1098-T FAQ's.csv
What are qualified tuition and related expenses?,"1. Graduate & Undergraduate Resident and Non-Resident tuition
2. Special class fees
3. University fees                                                                                                                                                                                                                                                                                                                                                                                 The IRS gave Colleges and Universities the option to either report “Box 1 Payments received for qualified tuition and related expenses” or “Box 2 Amounts billed for qualified tuition and related expenses.”   Up through 2017, Salem State University chose to report Box 2 qualified amounts billed.  As of 2018, the IRS has required the reporting method be Box 1 Payments received. ",1098-T FAQ's.csv
What are Non-qualified expenses?,"-Room and Board
-Insurance
-Books (not required for enrollment or attendance at an eligible educational institution)
-Non-credit course fees 
-This is not a complete list of QTRE, these are the most popular items ",1098-T FAQ's.csv
Why didn’t I receive a 1098-T form?,"To find out why you did not receive a 1098-T form, please follow the steps below to view 1098-T Ineligibility Reasons. 

1.Log in to Navigator.
2.Once at the Student Homepage, click on ""Financial Account"".                                                                                          3.At the bottom of the list, select the 1098-T Ineligibility Reasons.                                                                                   4.Select the year you are looking for and the information will display.                                                                                        5.You may have not received a 1098-T for these reasons explained below: Enrollment: you did not get academic credit for course:                                                                                                                                                                                                                                                                                                                                                                 
                                                                                                                                                                                        -- --Paid by Fin Aid: A 1098-T form will only be produced if there is more payment activity (Box 1) than amount paid by certain types of financial aid (Box 5) on an account during the calendar year January 1 to December 31. 
                                                                                                                                                                                            --Citizenship status: our system has no citizenship status in system for student or coded as Non-Resident Alien. If you have questions on your eligibility status, please review IRS Publication 970, ask your local IRS office, or contact a local tax advisor to help you understand what this form may mean for you if you receive one.
                                                                                                                                                                                                         -No messages for this calendar year: if you have made a payment in this calendar year, you may have a 1098T.  Please log in to your Navigator account to review.  If you did not make a payment in this calendar year, you would have no 1098-T available.
                                                                                                                                                                                             -Your address in our system is not current and the form was returned by the post office. ",1098-T FAQ's.csv
Why is a 1098-T not generated for Non-Resident Aliens (international students)?,"Salem State University is not required to supply Non-Resident Alien students with a form 1098-T according to the guidelines established by the Internal Revenue Service. However, one can be generated upon student request and the information will be forwarded to the IRS. You should refer to Publication 970 on the IRS website (https://www.irs.gov/) to determine if you are in fact eligible to take an educational credit. Please note: to have a 1098-T generated you must have a valid social security or tax identification number (ITIN) on file with the University.  ",1098-T FAQ's.csv
How to update my social security number with Salem State?,"If you need to update your SSN or TIN with the University, please fill out a W9-S Form through the university's web form to request an update.

",1098-T FAQ's.csv
